CVE_ENT,ENTIDAD,CODIGO,UNI_ECON2020,UNI_ECON2019
1,AGUASCALIENTES,21,19,14
1,AGUASCALIENTES,22,69,54
1,AGUASCALIENTES,23,535,498
1,AGUASCALIENTES,31-33,5877,5834
1,AGUASCALIENTES,43,2307,2243
1,AGUASCALIENTES,46,22796,22461
1,AGUASCALIENTES,48-49,486,399
1,AGUASCALIENTES,51,226,141
1,AGUASCALIENTES,52,1203,990
1,AGUASCALIENTES,53,1157,1151
1,AGUASCALIENTES,54,1669,1650
1,AGUASCALIENTES,55,3,3
1,AGUASCALIENTES,56,1108,1067
1,AGUASCALIENTES,61,1571,1497
1,AGUASCALIENTES,62,3330,3331
1,AGUASCALIENTES,71,766,790
1,AGUASCALIENTES,72,8836,8806
1,AGUASCALIENTES,81,9372,9339
2,BAJA CALIFORNIA,21,53,42
2,BAJA CALIFORNIA,22,143,138
2,BAJA CALIFORNIA,23,929,870
2,BAJA CALIFORNIA,31-33,8670,8486
2,BAJA CALIFORNIA,43,3967,3865
2,BAJA CALIFORNIA,46,43036,41627
2,BAJA CALIFORNIA,48-49,1624,1471
2,BAJA CALIFORNIA,51,537,381
2,BAJA CALIFORNIA,52,4567,3826
2,BAJA CALIFORNIA,53,2480,2414
2,BAJA CALIFORNIA,54,3933,3945
2,BAJA CALIFORNIA,55,6,11
2,BAJA CALIFORNIA,56,2022,1956
2,BAJA CALIFORNIA,61,4303,4134
2,BAJA CALIFORNIA,62,8062,8021
2,BAJA CALIFORNIA,71,1388,1487
2,BAJA CALIFORNIA,72,14607,14391
2,BAJA CALIFORNIA,81,24176,24027
3,BAJA CALIFORNIA SUR,21,40,27
3,BAJA CALIFORNIA SUR,22,110,95
3,BAJA CALIFORNIA SUR,23,466,439
3,BAJA CALIFORNIA SUR,31-33,2871,2843
3,BAJA CALIFORNIA SUR,43,1039,1019
3,BAJA CALIFORNIA SUR,46,11823,11295
3,BAJA CALIFORNIA SUR,48-49,558,471
3,BAJA CALIFORNIA SUR,51,212,146
3,BAJA CALIFORNIA SUR,52,1075,886
3,BAJA CALIFORNIA SUR,53,919,890
3,BAJA CALIFORNIA SUR,54,1027,1014
3,BAJA CALIFORNIA SUR,55,2,1
3,BAJA CALIFORNIA SUR,56,573,541
3,BAJA CALIFORNIA SUR,61,1129,1070
3,BAJA CALIFORNIA SUR,62,1598,1592
3,BAJA CALIFORNIA SUR,71,546,563
3,BAJA CALIFORNIA SUR,72,5414,5291
3,BAJA CALIFORNIA SUR,81,6316,6218
4,CAMPECHE,21,30,16
4,CAMPECHE,22,98,99
4,CAMPECHE,23,368,360
4,CAMPECHE,31-33,3999,4039
4,CAMPECHE,43,1151,1108
4,CAMPECHE,46,16320,15616
4,CAMPECHE,48-49,329,327
4,CAMPECHE,51,249,179
4,CAMPECHE,52,850,661
4,CAMPECHE,53,487,463
4,CAMPECHE,54,802,792
4,CAMPECHE,55,1,3
4,CAMPECHE,56,681,647
4,CAMPECHE,61,1186,1131
4,CAMPECHE,62,1659,1641
4,CAMPECHE,71,522,571
4,CAMPECHE,72,5945,5855
4,CAMPECHE,81,6178,6095
5,COAHUILA DE ZARAGOZA,21,170,142
5,COAHUILA DE ZARAGOZA,22,178,168
5,COAHUILA DE ZARAGOZA,23,929,840
5,COAHUILA DE ZARAGOZA,31-33,10163,10099
5,COAHUILA DE ZARAGOZA,43,3689,3608
5,COAHUILA DE ZARAGOZA,46,42487,41136
5,COAHUILA DE ZARAGOZA,48-49,1227,1187
5,COAHUILA DE ZARAGOZA,51,606,416
5,COAHUILA DE ZARAGOZA,52,3518,2920
5,COAHUILA DE ZARAGOZA,53,2364,2297
5,COAHUILA DE ZARAGOZA,54,2787,2774
5,COAHUILA DE ZARAGOZA,55,12,8
5,COAHUILA DE ZARAGOZA,56,1628,1543
5,COAHUILA DE ZARAGOZA,61,4184,4001
5,COAHUILA DE ZARAGOZA,62,5481,5459
5,COAHUILA DE ZARAGOZA,71,1430,1553
5,COAHUILA DE ZARAGOZA,72,12774,12641
5,COAHUILA DE ZARAGOZA,81,19855,19776
6,COLIMA,21,59,47
6,COLIMA,22,66,58
6,COLIMA,23,460,421
6,COLIMA,31-33,3158,3144
6,COLIMA,43,1143,1127
6,COLIMA,46,13492,13108
6,COLIMA,48-49,839,739
6,COLIMA,51,216,140
6,COLIMA,52,776,611
6,COLIMA,53,714,701
6,COLIMA,54,847,850
6,COLIMA,55,4,6
6,COLIMA,56,563,548
6,COLIMA,61,1120,1092
6,COLIMA,62,2011,1979
6,COLIMA,71,453,471
6,COLIMA,72,7018,6905
6,COLIMA,81,6669,6560
7,CHIAPAS,21,49,47
7,CHIAPAS,22,354,347
7,CHIAPAS,23,919,809
7,CHIAPAS,31-33,23037,23118
7,CHIAPAS,43,5112,5112
7,CHIAPAS,46,98058,96653
7,CHIAPAS,48-49,1694,1727
7,CHIAPAS,51,740,662
7,CHIAPAS,52,2341,1775
7,CHIAPAS,53,1951,1894
7,CHIAPAS,54,2951,2940
7,CHIAPAS,55,5,8
7,CHIAPAS,56,3475,3402
7,CHIAPAS,61,4818,4678
7,CHIAPAS,62,6963,6926
7,CHIAPAS,71,2290,2425
7,CHIAPAS,72,29645,29340
7,CHIAPAS,81,30391,30183
8,CHIHUAHUA,21,114,81
8,CHIHUAHUA,22,249,258
8,CHIHUAHUA,23,913,845
8,CHIHUAHUA,31-33,9225,9136
8,CHIHUAHUA,43,4467,4273
8,CHIHUAHUA,46,48211,46881
8,CHIHUAHUA,48-49,1264,1197
8,CHIHUAHUA,51,607,470
8,CHIHUAHUA,52,3931,3301
8,CHIHUAHUA,53,1894,1844
8,CHIHUAHUA,54,2897,2880
8,CHIHUAHUA,55,20,14
8,CHIHUAHUA,56,1529,1467
8,CHIHUAHUA,61,4357,4192
8,CHIHUAHUA,62,6620,6587
8,CHIHUAHUA,71,1814,1921
8,CHIHUAHUA,72,14287,14120
8,CHIHUAHUA,81,23610,23521
9,CIUDAD DE MÉXICO,21,59,35
9,CIUDAD DE MÉXICO,22,605,417
9,CIUDAD DE MÉXICO,23,2311,2291
9,CIUDAD DE MÉXICO,31-33,33513,33342
9,CIUDAD DE MÉXICO,43,16908,16733
9,CIUDAD DE MÉXICO,46,203500,201315
9,CIUDAD DE MÉXICO,48-49,3205,2950
9,CIUDAD DE MÉXICO,51,1977,1519
9,CIUDAD DE MÉXICO,52,11739,9165
9,CIUDAD DE MÉXICO,53,5939,5628
9,CIUDAD DE MÉXICO,54,14261,14102
9,CIUDAD DE MÉXICO,55,238,185
9,CIUDAD DE MÉXICO,56,8658,8426
9,CIUDAD DE MÉXICO,61,11928,11272
9,CIUDAD DE MÉXICO,62,22949,22850
9,CIUDAD DE MÉXICO,71,5280,5627
9,CIUDAD DE MÉXICO,72,59788,59131
9,CIUDAD DE MÉXICO,81,67631,67339
10,DURANGO,21,138,89
10,DURANGO,22,164,145
10,DURANGO,23,453,410
10,DURANGO,31-33,5749,5719
10,DURANGO,43,1982,1936
10,DURANGO,46,25576,25265
10,DURANGO,48-49,575,583
10,DURANGO,51,295,217
10,DURANGO,52,1238,1030
10,DURANGO,53,918,892
10,DURANGO,54,1324,1315
10,DURANGO,55,7,5
10,DURANGO,56,855,843
10,DURANGO,61,2089,2021
10,DURANGO,62,3077,3055
10,DURANGO,71,827,883
10,DURANGO,72,9390,9361
10,DURANGO,81,10667,10606
11,GUANAJUATO,21,67,55
11,GUANAJUATO,22,264,247
11,GUANAJUATO,23,1213,1233
11,GUANAJUATO,31-33,33127,33005
11,GUANAJUATO,43,10459,10275
11,GUANAJUATO,46,114025,112934
11,GUANAJUATO,48-49,1692,1488
11,GUANAJUATO,51,946,682
11,GUANAJUATO,52,4286,3321
11,GUANAJUATO,53,4341,4231
11,GUANAJUATO,54,5493,5456
11,GUANAJUATO,55,12,19
11,GUANAJUATO,56,3931,3877
11,GUANAJUATO,61,6152,5932
11,GUANAJUATO,62,11962,11892
11,GUANAJUATO,71,2939,3100
11,GUANAJUATO,72,32062,31881
11,GUANAJUATO,81,36629,36472
12,GUERRERO,21,278,342
12,GUERRERO,22,297,286
12,GUERRERO,23,328,335
12,GUERRERO,31-33,33298,33178
12,GUERRERO,43,3322,3296
12,GUERRERO,46,67679,66823
12,GUERRERO,48-49,800,947
12,GUERRERO,51,566,404
12,GUERRERO,52,1846,1375
12,GUERRERO,53,1155,1111
12,GUERRERO,54,1680,1660
12,GUERRERO,55,5,1
12,GUERRERO,56,2067,2044
12,GUERRERO,61,3899,3847
12,GUERRERO,62,5010,4968
12,GUERRERO,71,1573,1632
12,GUERRERO,72,22639,22395
12,GUERRERO,81,19700,19502
13,HIDALGO,21,141,121
13,HIDALGO,22,233,223
13,HIDALGO,23,504,460
13,HIDALGO,31-33,15973,15871
13,HIDALGO,43,3835,3755
13,HIDALGO,46,59622,58434
13,HIDALGO,48-49,631,576
13,HIDALGO,51,617,436
13,HIDALGO,52,1774,1326
13,HIDALGO,53,1722,1677
13,HIDALGO,54,2496,2473
13,HIDALGO,55,2,3
13,HIDALGO,56,2306,2277
13,HIDALGO,61,3103,2992
13,HIDALGO,62,5420,5348
13,HIDALGO,71,1486,1577
13,HIDALGO,72,17400,17070
13,HIDALGO,81,20062,19840
14,JALISCO,21,78,60
14,JALISCO,22,466,456
14,JALISCO,23,1863,1846
14,JALISCO,31-33,37235,37034
14,JALISCO,43,14750,14569
14,JALISCO,46,154011,152409
14,JALISCO,48-49,2777,2413
14,JALISCO,51,1268,963
14,JALISCO,52,6942,5526
14,JALISCO,53,5287,5197
14,JALISCO,54,8018,7969
14,JALISCO,55,31,35
14,JALISCO,56,5198,5097
14,JALISCO,61,9991,9602
14,JALISCO,62,16188,16137
14,JALISCO,71,4910,5202
14,JALISCO,72,48210,47772
14,JALISCO,81,57156,56877
15,MÉXICO                      ,21,128,119
15,MÉXICO                      ,22,1098,1045
15,MÉXICO                      ,23,1499,1547
15,MÉXICO                      ,31-33,65004,64933
15,MÉXICO                      ,43,19092,18901
15,MÉXICO                      ,46,333455,329818
15,MÉXICO                      ,48-49,2460,2859
15,MÉXICO                      ,51,1868,1375
15,MÉXICO                      ,52,8961,6472
15,MÉXICO                      ,53,7052,6884
15,MÉXICO                      ,54,10298,10310
15,MÉXICO                      ,55,37,45
15,MÉXICO                      ,56,12516,12273
15,MÉXICO                      ,61,19133,18324
15,MÉXICO                      ,62,24876,24864
15,MÉXICO                      ,71,8317,8927
15,MÉXICO                      ,72,78100,77585
15,MÉXICO                      ,81,100985,100629
16,MICHOACÁN DE OCAMPO       ,21,124,102
16,MICHOACÁN DE OCAMPO       ,22,386,367
16,MICHOACÁN DE OCAMPO       ,23,774,750
16,MICHOACÁN DE OCAMPO       ,31-33,39067,38971
16,MICHOACÁN DE OCAMPO       ,43,7482,7424
16,MICHOACÁN DE OCAMPO       ,46,104121,103059
16,MICHOACÁN DE OCAMPO       ,48-49,1347,1397
16,MICHOACÁN DE OCAMPO       ,51,934,725
16,MICHOACÁN DE OCAMPO       ,52,2787,2154
16,MICHOACÁN DE OCAMPO       ,53,3364,3325
16,MICHOACÁN DE OCAMPO       ,54,4615,4602
16,MICHOACÁN DE OCAMPO       ,55,4,7
16,MICHOACÁN DE OCAMPO       ,56,3106,3047
16,MICHOACÁN DE OCAMPO       ,61,5869,5695
16,MICHOACÁN DE OCAMPO       ,62,12379,12302
16,MICHOACÁN DE OCAMPO       ,71,3828,3970
16,MICHOACÁN DE OCAMPO       ,72,32379,32183
16,MICHOACÁN DE OCAMPO       ,81,34781,34564
17,MORELOS,21,27,21
17,MORELOS,22,285,286
17,MORELOS,23,289,317
17,MORELOS,31-33,10531,10490
17,MORELOS,43,2961,2916
17,MORELOS,46,47465,46324
17,MORELOS,48-49,497,598
17,MORELOS,51,369,308
17,MORELOS,52,1626,1210
17,MORELOS,53,1230,1181
17,MORELOS,54,2010,1953
17,MORELOS,55,3,1
17,MORELOS,56,1482,1487
17,MORELOS,61,2833,2730
17,MORELOS,62,4442,4418
17,MORELOS,71,1350,1407
17,MORELOS,72,16149,15836
17,MORELOS,81,16801,16612
18,NAYARIT,21,34,30
18,NAYARIT,22,138,131
18,NAYARIT,23,364,360
18,NAYARIT,31-33,5809,5748
18,NAYARIT,43,1461,1413
18,NAYARIT,46,23155,22618
18,NAYARIT,48-49,398,423
18,NAYARIT,51,243,177
18,NAYARIT,52,1096,904
18,NAYARIT,53,1086,1080
18,NAYARIT,54,1133,1151
18,NAYARIT,55,2,2
18,NAYARIT,56,732,710
18,NAYARIT,61,1856,1790
18,NAYARIT,62,2895,2884
18,NAYARIT,71,801,837
18,NAYARIT,72,12973,12769
18,NAYARIT,81,10523,10355
19,NUEVO LEÓN   ,21,60,48
19,NUEVO LEÓN   ,22,192,154
19,NUEVO LEÓN   ,23,1828,1630
19,NUEVO LEÓN   ,31-33,15145,14896
19,NUEVO LEÓN   ,43,8367,8118
19,NUEVO LEÓN   ,46,62874,59736
19,NUEVO LEÓN   ,48-49,2339,2005
19,NUEVO LEÓN   ,51,962,657
19,NUEVO LEÓN   ,52,7676,6356
19,NUEVO LEÓN   ,53,3641,3408
19,NUEVO LEÓN   ,54,5353,5126
19,NUEVO LEÓN   ,55,97,82
19,NUEVO LEÓN   ,56,3474,3149
19,NUEVO LEÓN   ,61,6957,6593
19,NUEVO LEÓN   ,62,9571,9200
19,NUEVO LEÓN   ,71,2270,2391
19,NUEVO LEÓN   ,72,22780,22305
19,NUEVO LEÓN   ,81,31759,31489
20,OAXACA,21,19,17
20,OAXACA,22,862,878
20,OAXACA,23,756,726
20,OAXACA,31-33,53289,53483
20,OAXACA,43,4597,4429
20,OAXACA,46,92710,91620
20,OAXACA,48-49,1476,1425
20,OAXACA,51,985,805
20,OAXACA,52,2342,1762
20,OAXACA,53,1637,1578
20,OAXACA,54,3085,3040
20,OAXACA,55,4,5
20,OAXACA,56,3241,3243
20,OAXACA,61,6536,6405
20,OAXACA,62,8691,8663
20,OAXACA,71,2006,2112
20,OAXACA,72,35107,34853
20,OAXACA,81,27076,26895
21,PUEBLA,21,548,534
21,PUEBLA,22,526,516
21,PUEBLA,23,1147,1192
21,PUEBLA,31-33,53452,53283
21,PUEBLA,43,9482,9494
21,PUEBLA,46,146913,144745
21,PUEBLA,48-49,1761,1664
21,PUEBLA,51,1050,748
21,PUEBLA,52,3643,2759
21,PUEBLA,53,3899,3778
21,PUEBLA,54,5372,5348
21,PUEBLA,55,5,14
21,PUEBLA,56,4958,4920
21,PUEBLA,61,8254,8006
21,PUEBLA,62,12272,12210
21,PUEBLA,71,3610,3851
21,PUEBLA,72,39406,38977
21,PUEBLA,81,44667,44412
22,QUERÉTARO                               ,21,120,117
22,QUERÉTARO                               ,22,91,86
22,QUERÉTARO                               ,23,657,586
22,QUERÉTARO                               ,31-33,8145,8093
22,QUERÉTARO                               ,43,3826,3738
22,QUERÉTARO                               ,46,37073,36187
22,QUERÉTARO                               ,48-49,782,688
22,QUERÉTARO                               ,51,378,253
22,QUERÉTARO                               ,52,2286,1900
22,QUERÉTARO                               ,53,1511,1452
22,QUERÉTARO                               ,54,2573,2582
22,QUERÉTARO                               ,55,12,9
22,QUERÉTARO                               ,56,1712,1625
22,QUERÉTARO                               ,61,2396,2272
22,QUERÉTARO                               ,62,5008,4983
22,QUERÉTARO                               ,71,961,1025
22,QUERÉTARO                               ,72,13161,12981
22,QUERÉTARO                               ,81,12928,12831
23,QUINTANA ROO,21,6,3
23,QUINTANA ROO,22,114,89
23,QUINTANA ROO,23,401,339
23,QUINTANA ROO,31-33,3532,3533
23,QUINTANA ROO,43,1730,1668
23,QUINTANA ROO,46,25518,23756
23,QUINTANA ROO,48-49,476,410
23,QUINTANA ROO,51,318,212
23,QUINTANA ROO,52,2747,2319
23,QUINTANA ROO,53,1427,1364
23,QUINTANA ROO,54,1474,1442
23,QUINTANA ROO,55,7,10
23,QUINTANA ROO,56,1505,1425
23,QUINTANA ROO,61,1824,1729
23,QUINTANA ROO,62,2307,2308
23,QUINTANA ROO,71,1005,1046
23,QUINTANA ROO,72,11535,11275
23,QUINTANA ROO,81,10572,10457
24,SAN LUIS POTOSÍ        ,21,154,126
24,SAN LUIS POTOSÍ        ,22,287,274
24,SAN LUIS POTOSÍ        ,23,753,698
24,SAN LUIS POTOSÍ        ,31-33,10499,10451
24,SAN LUIS POTOSÍ        ,43,3859,3787
24,SAN LUIS POTOSÍ        ,46,44558,43902
24,SAN LUIS POTOSÍ        ,48-49,859,762
24,SAN LUIS POTOSÍ        ,51,476,358
24,SAN LUIS POTOSÍ        ,52,1889,1480
24,SAN LUIS POTOSÍ        ,53,1961,1929
24,SAN LUIS POTOSÍ        ,54,2341,2348
24,SAN LUIS POTOSÍ        ,55,4,7
24,SAN LUIS POTOSÍ        ,56,1781,1750
24,SAN LUIS POTOSÍ        ,61,3206,3087
24,SAN LUIS POTOSÍ        ,62,5188,5198
24,SAN LUIS POTOSÍ        ,71,1384,1455
24,SAN LUIS POTOSÍ        ,72,15750,15655
24,SAN LUIS POTOSÍ        ,81,17046,16951
25,SINALOA,21,71,52
25,SINALOA,22,248,226
25,SINALOA,23,953,930
25,SINALOA,31-33,11634,11538
25,SINALOA,43,4492,4356
25,SINALOA,46,43392,41260
25,SINALOA,48-49,1104,985
25,SINALOA,51,514,311
25,SINALOA,52,3011,2380
25,SINALOA,53,2170,2120
25,SINALOA,54,2707,2697
25,SINALOA,55,13,14
25,SINALOA,56,1461,1387
25,SINALOA,61,3530,3383
25,SINALOA,62,6951,6930
25,SINALOA,71,1558,1598
25,SINALOA,72,15547,15321
25,SINALOA,81,21781,21571
26,SONORA,21,200,130
26,SONORA,22,330,318
26,SONORA,23,1205,1144
26,SONORA,31-33,12657,12566
26,SONORA,43,4320,4228
26,SONORA,46,38357,36671
26,SONORA,48-49,1391,1225
26,SONORA,51,705,456
26,SONORA,52,3446,2871
26,SONORA,53,2301,2266
26,SONORA,54,3202,3155
26,SONORA,55,11,4
26,SONORA,56,1373,1289
26,SONORA,61,3886,3765
26,SONORA,62,6150,6093
26,SONORA,71,1348,1431
26,SONORA,72,13376,13198
26,SONORA,81,22090,21944
27,TABASCO,21,64,23
27,TABASCO,22,357,346
27,TABASCO,23,499,465
27,TABASCO,31-33,7265,7603
27,TABASCO,43,2205,2164
27,TABASCO,46,31518,30284
27,TABASCO,48-49,612,596
27,TABASCO,51,382,277
27,TABASCO,52,1656,1249
27,TABASCO,53,995,966
27,TABASCO,54,1575,1574
27,TABASCO,55,6,4
27,TABASCO,56,1378,1301
27,TABASCO,61,2042,1984
27,TABASCO,62,3530,3526
27,TABASCO,71,971,1016
27,TABASCO,72,12425,11959
27,TABASCO,81,14344,14181
28,TAMAULIPAS,21,62,20
28,TAMAULIPAS,22,264,247
28,TAMAULIPAS,23,898,876
28,TAMAULIPAS,31-33,9354,9362
28,TAMAULIPAS,43,3115,3048
28,TAMAULIPAS,46,49877,49028
28,TAMAULIPAS,48-49,2320,2142
28,TAMAULIPAS,51,554,339
28,TAMAULIPAS,52,3942,3262
28,TAMAULIPAS,53,2025,1989
28,TAMAULIPAS,54,2524,2547
28,TAMAULIPAS,55,10,7
28,TAMAULIPAS,56,1399,1335
28,TAMAULIPAS,61,4160,4025
28,TAMAULIPAS,62,6367,6357
28,TAMAULIPAS,71,1625,1709
28,TAMAULIPAS,72,15640,15576
28,TAMAULIPAS,81,26712,26632
29,TLAXCALA,21,12,11
29,TLAXCALA,22,166,171
29,TLAXCALA,23,200,210
29,TLAXCALA,31-33,12761,12660
29,TLAXCALA,43,2048,2050
29,TLAXCALA,46,37231,36416
29,TLAXCALA,48-49,271,250
29,TLAXCALA,51,265,210
29,TLAXCALA,52,665,501
29,TLAXCALA,53,1020,994
29,TLAXCALA,54,1018,1005
29,TLAXCALA,56,1172,1150
29,TLAXCALA,61,1904,1842
29,TLAXCALA,62,2673,2656
29,TLAXCALA,71,1004,1073
29,TLAXCALA,72,8425,8267
29,TLAXCALA,81,10616,10492
30,VERACRUZ DE IGNACIO DE LA LLAVE,21,99,63
30,VERACRUZ DE IGNACIO DE LA LLAVE,22,536,532
30,VERACRUZ DE IGNACIO DE LA LLAVE,23,1216,1137
30,VERACRUZ DE IGNACIO DE LA LLAVE,31-33,30457,30673
30,VERACRUZ DE IGNACIO DE LA LLAVE,43,8046,7796
30,VERACRUZ DE IGNACIO DE LA LLAVE,46,132360,129542
30,VERACRUZ DE IGNACIO DE LA LLAVE,48-49,2132,1916
30,VERACRUZ DE IGNACIO DE LA LLAVE,51,1325,974
30,VERACRUZ DE IGNACIO DE LA LLAVE,52,5503,4062
30,VERACRUZ DE IGNACIO DE LA LLAVE,53,3400,3336
30,VERACRUZ DE IGNACIO DE LA LLAVE,54,5122,5066
30,VERACRUZ DE IGNACIO DE LA LLAVE,55,14,13
30,VERACRUZ DE IGNACIO DE LA LLAVE,56,4414,4321
30,VERACRUZ DE IGNACIO DE LA LLAVE,61,10142,9896
30,VERACRUZ DE IGNACIO DE LA LLAVE,62,13090,12983
30,VERACRUZ DE IGNACIO DE LA LLAVE,71,3544,3731
30,VERACRUZ DE IGNACIO DE LA LLAVE,72,48858,48459
30,VERACRUZ DE IGNACIO DE LA LLAVE,81,50860,50480
31,YUCATÁN       ,21,39,29
31,YUCATÁN       ,22,222,211
31,YUCATÁN       ,23,938,853
31,YUCATÁN       ,31-33,27245,27293
31,YUCATÁN       ,43,3420,3339
31,YUCATÁN       ,46,41345,39356
31,YUCATÁN       ,48-49,638,638
31,YUCATÁN       ,51,519,367
31,YUCATÁN       ,52,2316,1889
31,YUCATÁN       ,53,1875,1832
31,YUCATÁN       ,54,2349,2327
31,YUCATÁN       ,55,9,10
31,YUCATÁN       ,56,1602,1519
31,YUCATÁN       ,61,3640,3502
31,YUCATÁN       ,62,5144,5119
31,YUCATÁN       ,71,1718,1789
31,YUCATÁN       ,72,17339,17180
31,YUCATÁN       ,81,17363,17297
32,ZACATECAS,21,128,88
32,ZACATECAS,22,163,179
32,ZACATECAS,23,382,365
32,ZACATECAS,31-33,6437,6399
32,ZACATECAS,43,2117,2057
32,ZACATECAS,46,28439,27997
32,ZACATECAS,48-49,457,424
32,ZACATECAS,51,395,270
32,ZACATECAS,52,890,691
32,ZACATECAS,53,1080,1056
32,ZACATECAS,54,1337,1313
32,ZACATECAS,56,822,809
32,ZACATECAS,61,1764,1691
32,ZACATECAS,62,3672,3637
32,ZACATECAS,71,1167,1212
32,ZACATECAS,72,8567,8474
32,ZACATECAS,81,10437,10328
